,DBPath,correct_k,optk_MDS_gap_max,optk_MDS_gap_Tib,optk_MDS_gap*_max,optk_X_gap_max,optk_X_gap_Tib,optk_X_gap*_max,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7
80,D:\Z - Saved SQL Databases\44OP-129261_100_Congress_Central_Plant_Upgrade\JobDB.mdf,31.0,36,4.0,81.0,37,3.0,6.0,269.0,108.0,1.0,0.0,152.0,8.0,0.0,0.0
81,D:\Z - Saved SQL Databases\44OP-159849 EERC-CHASE\JobDB.mdf,5.0,54,5.0,64.0,51,5.0,6.0,3266.0,0.0,18.0,1519.0,1286.0,310.0,133.0,0.0
82,D:\Z - Saved SQL Databases\44OP-162224_MCC_CSC_Module_A_RTU\JobDB.mdf,11.0,18,2.0,38.0,19,2.0,4.0,193.0,0.0,0.0,173.0,20.0,0.0,0.0,0.0
83,D:\Z - Saved SQL Databases\44OP-171494_Baylor_BRIC_Dr_Rylander\JobDB.mdf,157.0,114,5.0,185.0,171,5.0,9.0,7904.0,771.0,89.0,4125.0,2671.0,218.0,30.0,0.0
84,D:\Z - Saved SQL Databases\44OP-106650_SETON_NW_OR\JobDB.mdf,9.0,16,1.0,17.0,12,1.0,2.0,88.0,0.0,0.0,86.0,2.0,0.0,0.0,0.0
85,D:\Z - Saved SQL Databases\44OP-156522_TxDOT_Acid_Hood\JobDB.mdf,35.0,38,2.0,75.0,30,2.0,6.0,77.0,0.0,0.0,0.0,40.0,37.0,0.0,0.0
86,D:\Z - Saved SQL Databases\44OP-159998 HMSL Expansion BP1\JobDB.mdf,41.0,89,4.0,147.0,79,4.0,6.0,433.0,70.0,5.0,285.0,73.0,0.0,0.0,0.0
87,D:\Z - Saved SQL Databases\44OP-166320_TXSU_MSH\JobDB.mdf,32.0,29,3.0,44.0,31,3.0,3.0,257.0,0.0,2.0,249.0,6.0,0.0,0.0,0.0
88,D:\Z - Saved SQL Databases\44OP-164908_UT_Dell_Medical_School_Research_Building\JobDB.mdf,37.0,73,3.0,117.0,88,3.0,3.0,241.0,0.0,0.0,149.0,62.0,30.0,0.0,0.0
89,D:\Z - Saved SQL Databases\44OP-156536_BU_North_Russell\JobDB.mdf,42.0,20,2.0,54.0,35,2.0,5.0,197.0,0.0,5.0,192.0,0.0,0.0,0.0,0.0
90,D:\Z - Saved SQL Databases\44OP-140409_SAMC_BMT_Oncology\JobDB.mdf,7.0,5,1.0,15.0,7,1.0,6.0,81.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0
91,D:\Z - Saved SQL Databases\44OP-148596_UT_Townes_Hall\JobDB.mdf,17.0,23,2.0,25.0,18,2.0,2.0,150.0,0.0,2.0,145.0,3.0,0.0,0.0,0.0
92,D:\Z - Saved SQL Databases\44OP-170036_UT_Townes_Hall_HVAC_Proj_Ph_2\JobDB.mdf,8.0,11,2.0,23.0,16,2.0,8.0,96.0,0.0,0.0,88.0,8.0,0.0,0.0,0.0
93,D:\Z - Saved SQL Databases\44OP-149635_Baylor_Migrations\JobDB.mdf,16.0,24,2.0,35.0,18,2.0,4.0,90.0,0.0,1.0,70.0,19.0,0.0,0.0,0.0
94,D:\Z - Saved SQL Databases\44OP-136475_UT_HRC\JobDB.mdf,31.0,29,2.0,49.0,19,2.0,7.0,190.0,0.0,0.0,178.0,12.0,0.0,0.0,0.0
95,D:\Z - Saved SQL Databases\44OP-167712_Block_23_Greenwater_Office_Bldg\JobDB.mdf,64.0,24,4.0,81.0,57,4.0,4.0,368.0,1.0,2.0,342.0,19.0,4.0,0.0,0.0
96,D:\Z - Saved SQL Databases\44OP-159393_SDMC_32nd_PH_5\JobDB.mdf,1.0,1,1.0,9.0,1,1.0,1.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
97,D:\Z - Saved SQL Databases\44OP-138815_TXSU_CoGen_Plant_BAS_Mods\JobDB.mdf,61.0,71,9.0,75.0,79,5.0,5.0,445.0,0.0,4.0,388.0,48.0,5.0,0.0,0.0
98,D:\Z - Saved SQL Databases\44OP-127491_MCC_CSC_BLDG_F\JobDB.mdf,6.0,9,1.0,12.0,5,1.0,12.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
99,D:\Z - Saved SQL Databases\44OP-132975_TFC_Rudder_Building\JobDB.mdf,13.0,17,2.0,17.0,11,2.0,11.0,107.0,0.0,2.0,104.0,1.0,0.0,0.0,0.0
100,D:\Z - Saved SQL Databases\44OP-150007_Cirrus_Logic_Ph2\JobDB.mdf,12.0,17,4.0,28.0,19,3.0,6.0,48.0,0.0,2.0,35.0,11.0,0.0,0.0,0.0
101,D:\Z - Saved SQL Databases\44OP-181789_TXSU_MCS\JobDB.mdf,7.0,22,3.0,30.0,24,3.0,8.0,166.0,0.0,2.0,45.0,119.0,0.0,0.0,0.0
102,D:\Z - Saved SQL Databases\44OP-198461_TXSU_Lantana CHW\JobDB.mdf,4.0,2,2.0,13.0,8,2.0,8.0,17.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0
103,D:\Z - Saved SQL Databases\44OP-197274_TXSU_Ag_Bldg\JobDB.mdf,2.0,1,1.0,4.0,1,1.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
104,D:\Z - Saved SQL Databases\44OP-181323_Sabinal_Renovation\JobDB.mdf,12.0,36,3.0,41.0,37,3.0,5.0,146.0,0.0,2.0,54.0,90.0,0.0,0.0,0.0
